Date : 2021-05-17 21:36:29
Directory : /Users/Projects/Flutter/grow_run_v1/lib
Total : 116 files,  5562 codes, 968 comments, 949 blanks, all 7479 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        116 |      5,562 |        968 |        949 |      7,479 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        116 |      5,562 |        968 |        949 |      7,479 |
| core                                                                                                                          |         12 |        119 |         95 |         39 |        253 |
| core/error                                                                                                                    |          2 |         61 |         50 |         19 |        130 |
| core/usecases                                                                                                                 |          1 |         10 |          0 |          4 |         14 |
| core/util                                                                                                                     |          9 |         48 |         45 |         16 |        109 |
| features                                                                                                                      |        102 |      5,354 |        862 |        899 |      7,115 |
| features/grow                                                                                                                 |        102 |      5,354 |        862 |        899 |      7,115 |
| features/grow/data                                                                                                            |         26 |      1,906 |        222 |        247 |      2,375 |
| features/grow/data/datasources                                                                                                |          3 |        133 |         45 |         21 |        199 |
| features/grow/data/datasources/local                                                                                          |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/datasources/remote                                                                                         |          1 |        131 |         44 |         18 |        193 |
| features/grow/data/datasources/remote/firebase                                                                                |          1 |        131 |         44 |         18 |        193 |
| features/grow/data/models                                                                                                     |         18 |      1,429 |        104 |        177 |      1,710 |
| features/grow/data/models/admin                                                                                               |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/background                                                                                          |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/child                                                                                               |          3 |        477 |         32 |         49 |        558 |
| features/grow/data/models/clothing                                                                                            |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/goal                                                                                                |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/parent                                                                                              |          3 |        389 |         32 |         46 |        467 |
